"HDI Rank","Country","GDI_value","HDI_f","HDI_m","Life_expectancy_at_birth_f","Life_Expectancy_at_birth_m","Expected_years_of_schooling_f","Expected_years_of_schooling_m","Mean_years_of_schooling_f","Mean_years_of_schooling_m","2017_Estimated _gross _ national_income_per_capita_f","2017_Estimated _gross _ national_income_per_capita_m"
94,"Dominica",,,,,,,,,,,
95,"Maldives",0.9231997515773089,0.6982371757586027,0.7563229675545814,80.779,77.523,12.2759011,12.12408078,7.023352,7.016279,7907.654480540093,22931.118563623273
95,"Tunisia",0.9001292969125834,0.6893713442641072,0.7658581346353578,78.721,74.688,15.8231,14.28112,6.47663,7.99608,4586.806228989247,16340.580692873471
97,"Saint Vincent and the Gre dines",0.9654676872410736,0.7236320707548527,0.7495145413128307,75.131,70.289,14.230593,13.957487,8.857663479,8.713512817,8879.661079458721,15775.814981423386
97,"Suri me",0.9852291416227549,0.7288378487734576,0.7397648100146537,75.063,68.468,13.79321,12.48327536,9.383710761,9.121048275,9503.860220435196,19092.98740027853
99,"Mongolia",1.0230891704780272,0.7438566387771857,0.727069213751551,74.142,65.799,14.7541,13.659,10.71041403,9.728477282,8755.744651329342,12980.952951611716
100,"Botswa ",0.9977298932351841,0.7335801908968022,0.7352492852731267,72.386,66.485,12.99222625,12.70677375,9.486903274,9.652469624,15276.173529082012,17676.754090900926
101,"Jamaica",0.9943386569289407,0.7304844615216809,0.7346435305832468,76.118,72.868,13.9024646,12.379,10.15051042,9.289158696,7500.82097490657,11163.326099031103
102,"Jordan",0.8748292952354352,0.6635184666549147,0.7584547868579866,76.306,72.839,11.63216428,11.12515586,10.31,10.726,3323.6458286672537,16233.916224885066
103,"Paraguay",0.9662831980940481,0.7136635747196335,0.7385656463108373,76.396,72.263,13.048451,12.37,8.543956838,8.525926993,8855.067287314187,15482.611982347882
104,"Tonga",0.9497805673044346,0.701607207960369,0.7387045304070554,72.887,68.967,14.6231,13.97933935,11.324,11.16,4310.573897898187,8415.635724896758
105,"Libya",0.9761731259582465,0.7132516613763122,0.730661029698148,75.951,70.097,13.06487113,12.64368887,8.47,7.214,9249.284149447896,21998.629838117628
106,"Uzbekistan",0.9389877322559974,0.6949635096168721,0.7401199033209556,73.829,69.592,11.86788,12.24139,11.61857,12.00164,5063.99994786998,9230.200748550636
107,"Bolivia (Pluri tio l State of)",0.9449452819804474,0.6964340566609594,0.7370099305658736,74.508,68.684,14.1661139,14.2338861,8.2941,9.785,6481.03211533227,10609.995363043574
107,"Indonesia",0.9403575936633956,0.6936392619223558,0.7376334987843428,73.967,69.572,13.67324,13.54619,7.76235,8.57777,7901.742095411285,14966.487489838935
107,"Philippines",1.0069199775633197,0.7197416002012795,0.7147952332249947,75.505,67.263,13.49941,12.81631,9.5668,9.2162,7843.035175906852,11694.19793233328
110,"Belize",0.97630942840557,0.7057622577314169,0.7228878849239538,77.843,71.65,13.37546,12.84743,9.927629533,9.915711349,4896.199684514421,7880.67368720379
111,"Samoa",,,,75.464,71.324,13.17706965,12.28233035,,,4054.375439512938,8410.108811819315
111,"Turkmenistan",,,,71.717,64.705,10.91083,11.46204332,,,10493.486391067427,19460.758224835412
113,"Venezuela (Bolivarian Republic of)",1.0092220719889584,0.7123502768805153,0.7058409607279268,76.004,68.327,13.81196,11.8202,10.5925,10.01145,5172.527635517804,8973.448969090157
114,"South Africa",0.9863821495061937,0.7020923195480617,0.7117853054209727,67.679,60.726,14.17628,13.41081,10.03064,10.29088,9247.750648454106,15094.546275607783
115,"Palestine, State of",0.8699879491334531,0.6379549971194095,0.7332917631271113,75.755,72.416,14.28559,12.56511,8.94876,9.37827,2045.1864242267202,10666.235250464473
116,"Egypt",0.8823332278842357,0.652050925257035,0.7390075593328846,74.35,69.742,13.31444,13.33763,6.78,8.082,4752.9076273667615,18039.470400234823
117,"Marshall Islands",,,,,,,,10.71154,11.06208,,
117,"Viet  m",0.9974276248111201,0.7030678518234439,0.7048810704000521,79.523,71.301,12.876677,12.51,8.018,8.632,6644.2948641633075,8223.728768364808
119,"Gabon",0.9158481824351299,0.6696274350522377,0.7311554992354509,68.669,64.382,12.59342306,13.36119694,7.766,9.638,9924.830357682513,17790.664004526803
120,"Kyrgyzstan",0.9572854580584064,0.676553939984235,0.7067421052822017,75.603,67.437,13.21047,12.73308,11.18735489,11.01766576,2971.455184012107,6797.909177882883
121,"Morocco",0.8346114320282836,0.6121883175012319,0.7335009970010642,77.895,75.423,13.28992,14.1454,4.684,6.638,2974.8406331816655,11831.241566373561
122,"Guya ",0.9611117542052663,0.6615854206778344,0.6883543123711902,73.095,66.927,11.59386,11.2684,8.8962,7.9727,5358.5353652353315,13512.254667094263
123,"Iraq",0.7744031901700815,0.5658051454480564,0.730633799847582,72.652,68.565,10.35037277,12.18962723,5.9939,8.6381,2426.974324870281,18975.23144750912
124,"El Salvador",0.974571097002244,0.661864808292401,0.6791344524050424,77.842,68.455,11.51648,11.69118,6.6217,7.308234352,6471.330381380315,10500.933724028118
125,"Tajikistan",0.8232389133060175,0.5861308427228551,0.7119814591477849,73.389,68.935,10.72996904,12.59363096,10.21019471,11.26358904,1439.8817790751436,6427.247182263189
126,"Cabo Verde",0.9739662240966888,0.6545768848399539,0.6720734956153592,76.197,69.526,13.00302,12.41752,6.025999125,6.573896076,5452.9906479510455,8573.226368897505
127,"Guatemala",0.9408023574909885,0.6387612437416272,0.678953702289958,77.151,71.382,10.60754,10.89782,6.55726,6.68453,5450.890266205334,11629.200432786105
128,"Nicaragua",1.0116483043853537,0.663132625036764,0.6554971941950348,77.982,70.944,12.58334892,12.05257108,7.18,6.62,4655.592013507525,5929.936054527741
129,"Bhutan",0.9207884717094357,0.6256728389099055,0.6794968205328955,72.176,71.405,13.46645,12.75028,3.25487,4.79342,8117.425112566683,13069.455203925589
130," mibia",1.0074694396634725,0.6475920209051799,0.6427907342990936,66.516,60.685,12.72877592,12.538,7.33,6.686,8481.910046324589,10287.011618241213
131,"India",0.820249849906372,0.5731806392673903,0.6987878624212079,70.95,68.464,12.63835,11.73363,5.402907118,8.717657279,2330.548965189669,10702.271240626238
