"HDI Rank","Country","GDI_value","HDI_f","HDI_m","Life_expectancy_at_birth_f","Life_Expectancy_at_birth_m","Expected_years_of_schooling_f","Expected_years_of_schooling_m","Mean_years_of_schooling_f","Mean_years_of_schooling_m","2017_Estimated _gross _ national_income_per_capita_f","2017_Estimated _gross _ national_income_per_capita_m"
172,"Gambia",0.8457424056234779,0.4479811543846281,0.5296898339328016,63.481,60.656,9.977057219,9.845980781,3.3,4.614,1145.465344964636,3206.9572385377933
173,"Ethiopia",0.8370893819252069,0.44151371007378976,0.5274391476073442,68.536,64.694,8.311978753,9.314057862,1.697824476,4.321076749,1641.730092818146,2770.74142270162
174,"Malawi",0.9863801669728139,0.49279518845201853,0.49959965229674036,67.413,61.101,11.15548291,11.32833709,6.882,5.24,838.2517662607926,1236.624930549983
175,"Congo (Democratic Republic of the)",0.8452424284084028,0.43915158851679253,0.5195569623069182,62.233,59.147,8.642716048,10.81665729,5.27478,8.37484,907.343645451608,1218.2882299147398
175,"Guinea-Bissau",,,,60.213,56.305,,,,,1647.004898215861,2361.137932681956
175,"Liberia",0.8895810871752505,0.45321832382057364,0.5094738752368373,65.497,62.715,9.163967352,10.40307865,3.458,6.164,1241.9074720591523,1274.7488885706887
178,"Guinea",0.8169305026331489,0.4282600520103709,0.5242307033829602,62.117,60.855,8.01100272,10.80600728,1.525466735,4.233810142,2266.2835472338847,2553.970590508366
179,"Yemen",0.4882387359737357,0.2698937354190031,0.5527905009026604,67.826,64.443,7.367276023,10.24623598,2.88,5.146,186.0413717922927,2980.035053790799
180,"Eritrea",,,,68.555,64.153,4.5724674,5.4381,,,2275.1462209114543,3309.363142976076
181,"Mozambique",0.9120910345647356,0.43458518869082613,0.47647128655114684,63.671,57.782,9.48581,10.46825,2.70461455,4.495430225,1131.0177679664657,1376.872599499679
182,"Burki  Faso",0.866707792642374,0.41789465986417834,0.4821632658800986,62.294,60.739,9.10409,9.44096,1.07,2.256279557,1540.6685410480106,2726.7504897852873
182,"Sierra Leone",0.8837898786367756,0.4232746336298561,0.4789312978812871,55.495,53.853,9.73176,10.6201,2.93,4.478,1469.5467408438537,1866.9818161508801
184,"Mali",0.8208006765016004,0.3879609967972162,0.4726616435682966,60.085,58.529,6.79713,8.10899,1.7135,2.9924,1515.6838710769453,3019.486344738663
185,"Burundi",0.9992879461631564,0.4321400853241757,0.4324480115900638,63.377,59.764,11.03825,11.10496,2.60793306,4.051710297,865.8990801719339,640.1050840786829
185,"South Sudan",0.841802349059058,0.3836994769595396,0.45580708748131626,59.383,56.351,3.5486,5.8827,3.938685909,5.207697051,1758.7567781703344,2247.397498149991
187,"Chad",0.7640906759116226,0.3419676259211945,0.4475484869818614,55.669,52.835,5.89018,8.80852,1.266126918,3.846580001,1243.6526923323556,1868.106231037075
188,"Central African Republic",0.8014200062842962,0.35122930106094175,0.43825871366673425,55.514,51.081,6.194228836,8.942491164,3.024,5.582,792.24423367295,1197.2931023896508
189,"Niger",0.7237463246819136,0.320846368574092,0.4433132958776736,63.621,61.281,5.73112,7.1716,1.39995223,2.813112943,535.9678885796807,1859.1196558543893
,"Very high human development",0.9808734806675253,0.8861593245385895,0.9034389674145549,82.44662828485393,76.75729491176392,16.63364863319171,15.98099182310477,12.04044294515953,12.21610671502015,33667.90369563738,55719.75446714106
,"High human development",0.9608315208003145,0.7361253859608956,0.7661336769507183,77.96630868001007,72.81315324287601,14.112009742157943,13.878597287593333,8.17644093094697,8.663574937993902,10528.518668946135,17912.431780592196
,"Medium human development",0.835137826743544,0.567034178136794,0.6789707758153314,70.82605837224197,67.87974960596549,11.701263996963432,11.41656419778177,5.32311538427954,8.05897813493439,2529.9944120187984,9597.514833574858
,"Low human development",0.8606517329400492,0.47383218729923166,0.5505504365634475,63.032202425982454,59.85845626771889,8.74153569531348,10.088472806692469,3.9462295710018984,5.960162340460887,2042.752923684652,3445.919943528871
,"Developing countries",0.919134397760747,0.658602758499649,0.7165467423525642,73.39721175548777,69.28709739300439,12.195626636214424,12.280386186201255,6.94085170430536,8.306877227346813,6923.24535077734,14135.783274111407
,"Arab States",0.855987652069297,0.6359810011815583,0.7429791769123232,73.93067129385173,70.39732945388815,11.86500497117919,12.350545253000181,6.5402028132258785,8.073920232747529,5092.455083030244,23922.869061726626
,"East Asia and the Pacific",0.9611148455215229,0.7308124042345286,0.7603798938699913,77.99508895620833,73.06974749395123,13.676671130370973,13.599878836040558,7.742969739700261,8.387615284460551,11485.461962756603,17826.59536507617
,"Europe and Central Asia",0.9533434041432015,0.7683100772443348,0.8059111479717408,77.70657184882461,71.05840800239199,14.47727198096902,14.81218331205339,9.946680348585929,10.711261145863613,12372.86486726316,23800.989086541624
,"Latin America and the Caribbean",0.978408542362676,0.755195611844345,0.7718612206928276,78.73254956270779,72.43865203670738,14.957653525055541,14.26401352938178,8.74263087627298,8.697060324915121,10707.90836905132,19045.921903424343
,"South Asia",0.8243963727023211,0.5701203181581278,0.6915609251036708,71.31501937967774,68.69489531758848,11.883890297409847,11.497264559019584,5.531204111253628,8.369956162857427,2392.8344865912172,10416.078462157571
,"Sub-Saharan Africa",0.894041928912734,0.5162900166792213,0.5774785275530578,63.32024551022276,59.773468092533584,9.526366269060967,10.559284318794688,4.938155877386163,6.70997840072739,2936.585934956621,4433.502297892086
,"World",0.943091974224536,0.714298184949593,0.7574003432029301,75.03578783107818,70.57302288507294,12.717887124645468,12.703420596473283,8.10929814903703,9.16169692977203,12063.452838225301,21323.362153896982
