"HDI Rank","Country","GII_Value","GII_Rank","Maternal_mortality ratio_(deaths_per_100k_livebirths)","Adolescent_birth rate_(births_per_1k_women_age_15-19)","Share of seats in parliament_(%_held_by_women)","f_with_at_least_some_secondary_education_in%","m_with_at_least_some_secondary_education_in%","f_Labour force participation rate_in%","m_Labour force participation rate_in%"
74,"Saint Kitts and Nevis",,,,,13.33333333,,,,
74,"Ukraine",0.234,52,19.0,23.711,20.51886792,94.0,95.24,46.732,63.094
78,"Antigua and Barbuda",,,42.0,42.782,31.42857143,,,,
79,"Peru",0.395,87,88.0,56.882,30.0,58.94257,69.37365,70.281,85.143
79,"Thailand",0.359,80,37.0,44.908,14.13333333,43.47807,48.56179,59.2,76.08
81,"Armenia",0.245,54,26.0,21.49,23.48484848,97.26805434,97.15172,47.074,65.887
82,"North Macedonia",0.143,37,7.0,15.723,39.16666667,41.82646897,57.68280295,42.986,67.346
83,"Colombia",0.428,101,83.0,66.651,19.56521739,55.74167,53.01833,57.349,80.902
84,"Brazil",0.408,95,60.0,59.111,14.98316498,61.55127,58.26034,54.208,74.102
85,"China",0.168,39,29.0,7.635,24.94117647,76.03371735,83.28977254,60.451,75.274
86,"Ecuador",0.384,86,59.0,79.261,37.95620438,52.48502,53.26757,55.212,81.066
86,"Saint Lucia",0.401,90,117.0,40.536,20.68965517,49.22039668,42.0644932,59.537,74.999
88,"Azerbaijan",0.323,73,26.0,55.838,16.80672269,93.9019,97.50076,63.411,69.737
88,"Dominican Republic",0.455,112,95.0,94.26,24.32432432,59.65802317,56.14466192,51.43,77.435
90,"Moldova (Republic of)",0.204,46,19.0,22.415,25.74257426,96.58683,98.10793,40.49,45.983
91,"Algeria",0.429,103,112.0,10.071,21.54882155,39.08,38.9,14.591,67.404
92,"Lebanon",0.411,96,29.0,14.5,4.6875,54.31374759,55.56182719,22.874,71.41
93,"Fiji",0.37,84,34.0,49.353,19.60784314,79.38022,78.18903504,38.475,76.471
94,"Dominica",,,,,25.0,,,,
95,"Maldives",0.369,82,53.0,7.81,4.597701149,45.41076032,49.56869299,41.634,84.227
95,"Tunisia",0.296,65,43.0,7.841,22.58064516,42.43799338,54.564,23.777,69.433
97,"Saint Vincent and the Grenadines",,,68.0,49.02,13.04347826,,,54.361,77.01
97,"Suriname",0.436,105,120.0,61.655,31.37254902,61.52695926,60.08498798,38.753,63.668
99,"Mongolia",0.322,71,45.0,30.993,17.33333333,91.49138376,86.13348867,53.304,66.384
100,"Botswana",0.465,116,144.0,46.061,10.76923077,89.64,90.88785182,65.375,76.898
101,"Jamaica",0.396,88,80.0,52.757,19.04761905,70.04393986,62.36603341,59.782,72.468
102,"Jordan",0.45,109,46.0,25.877,15.38461538,82.15009517,86.05994058,14.386,63.742
103,"Paraguay",0.446,107,84.0,70.504,16.8,49.2486,51.15980178,59.22,84.606
104,"Tonga",0.354,79,52.0,14.662,7.407407407,94.0,93.4,45.737,74.337
105,"Libya",0.252,56,72.0,5.769,15.95744681,70.4920975,45.05386134,33.949,65.31
106,"Uzbekistan",0.288,62,29.0,23.79,16.4,99.85953,99.95679,52.378,78.113
