"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100","X101","X102","X103","X104","X105","X106","X107","X108","X109","X110","X111","X112","X113","X114","X115","X116","X117","X118","X119","X120","X121","X122","X123","X124","X125","X126","X127","X128","X129","X130","X131","X132","X133","X134","X135","X136","X137","X138","X139","X140","X141","X142","X143","X144","X145","X146","X147","X148","X149","X150","X151","X152","X153","X154","X155","X156","X157","X158","X159"
"2011 [YR2011]",NA,NA,NA,NA,NA,NA,"     96.37","     97.08","     96.71","     26.98","     35.58","     31.15","    100.00","    100.00","    100.00","     20.49","     29.88","     25.04","     75.96","     87.84","     81.72",NA,NA,NA,NA,NA,NA,NA,"      4.82","    100.90","     74.39","     75.15","     73.83","     40.33","     30.44","     57.46","     63.83","     59.63","     68.15","     42.96",NA,"     37.74","     48.60","     84.43",NA,NA,NA,"     47.45","     59.78","1457886.00","     38.22","      2.78",NA,"     48.58","      2.47",NA,"     40.01","      3.07",NA,"     22.77","     55.83",NA,"      2.37","      2.66","      2.16","     12.94","     11.66","     14.11","      5.70","      5.31","      6.05","     88.75","     89.29","     88.24","      2.45","  71525.00","  36126.00","  35399.00",NA,NA,NA,NA,NA,NA,"      0.33","      2.71","      2.29","      3.12",NA,NA,NA,"      0.33",NA,NA,NA,NA,NA,NA,NA,NA,NA,"      5.50","      6.12",NA,NA,NA,"    102.47","     88.52","      0.99","      0.96","    102.11","     89.05","    102.80","     88.01","    103.76","     88.48","      0.95","    100.88","     88.15","    106.51","     88.79",NA,NA,NA,NA,"      1.97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"     17.05","     22.84",NA,NA,NA,"     33.58","     30.27","     31.88",NA,NA,NA,"      2.80","    101.30","    101.82","    101.57","      2.39",NA,NA,NA,NA,NA
"2010 [YR2010]",NA,NA,NA,NA,NA,NA,"     96.13","     96.94","     96.52","     25.64","     35.17","     30.26","    100.00","    100.00","    100.00","     19.24","     29.63","     24.27","     75.17","     87.47","     81.13",NA,NA,NA,NA,NA,NA,NA,"      4.94","    101.73","     73.47","     74.19","     72.96","     37.06","     28.44","     51.09","     63.46","     59.22","     67.86","     42.98",NA,"     38.33","     48.63","     85.54",NA,NA,NA,"     47.49","     58.96","1557160.00","     38.76","      2.90",NA,"     51.49","      2.58",NA,"     43.10","      3.21",NA,"     23.70","     58.58",NA,"      3.02","      3.24","      2.86","     14.69","     12.78","     16.41","      6.83","      6.23","      7.37","     89.07","     89.64","     88.53","      2.35","  70080.00","  35532.00","  34548.00","     13.34","     13.36","     13.32",NA,NA,NA,NA,NA,NA,NA,"     11.26","     11.34","     11.18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"      7.74","      8.35",NA,NA,NA,"    103.00","     88.84","      0.99","      0.96","    102.70","     89.41","    103.28","     88.31","    103.97","     88.12","      0.95","    101.15","     87.81","    106.67","     88.42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"     17.66","     23.88",NA,NA,NA,"     32.03","     28.31","     30.13","    527.51","    530.51","    524.65",NA,"    101.96","    102.07","    102.02",NA,NA,NA,NA,NA,NA
"2009 [YR2009]",NA,NA,NA,NA,NA,NA,"     96.36","     97.08","     96.71","     25.12","     34.86","     29.84","    100.00","    100.00","    100.00","     18.92","     29.49","     24.04","     74.38","     87.26","     80.62",NA,NA,NA,NA,NA,NA,NA,"      4.91","    100.65","     73.53","     74.23","     73.04","     37.76","     29.06","     51.75","     63.66","     59.33","     68.09","     41.89",NA,"     38.10","     48.63","     84.97",NA,NA,NA,"     47.46","     58.24","1582678.00","     38.39","      2.43",NA,"     53.22","      2.10",NA,"     44.53","      2.74",NA,"     23.97","     60.49",NA,"      3.39","      3.72","      3.16","     15.62","     13.80","     17.27","      7.60","      6.99","      8.15","     88.17","     88.82","     87.56","      2.93","  89319.00","  44339.00","  44980.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"      7.51","      7.91",NA,NA,NA,"    103.40","     88.03","      0.99","      0.96","    103.07","     88.67","    103.71","     87.41","    103.16","     88.17","      0.95","    100.29","     87.82","    105.90","     88.51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"     17.19","     23.86",NA,NA,NA,"     30.14","     27.08","     28.58",NA,NA,NA,NA,"    102.28","    102.48","    102.38",NA,NA,NA,NA,NA,NA
"2008 [YR2008]",NA,NA,NA,NA,NA,NA,"     96.39","     97.12","     96.74","     23.97","     34.00","     28.82","    100.00","    100.00","    100.00","     17.87","     28.59","     23.05","     73.67","     87.11","     80.16",NA,NA,NA,NA,NA,NA,NA,"      4.44","     99.41","     73.41","     73.79","     73.15","     37.75","     29.08","     51.80","     63.88","     59.40","     68.45","     38.93",NA,"     41.96","     48.61","     85.20",NA,NA,NA,"     48.11","     57.60","1741243.00","     41.85","      1.25",NA,"     57.48","      1.00",NA,"     51.16","      1.48",NA,"     24.68","     63.12",NA,"      3.31","      3.94","      2.88","     15.30","     14.21","     16.29","      7.22","      7.23","      7.22","     88.44","     89.05","     87.85","      2.53","  78712.00","  39978.00","  38734.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"      6.13","      5.72",NA,NA,NA,"    104.02","     88.31","      0.99","      0.98","    103.65","     88.93","    104.38","     87.72","    103.31","     89.52","      0.97","    101.81","     89.51","    104.74","     89.53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"     15.10","     21.08",NA,NA,NA,"     27.45","     24.35","     25.88",NA,NA,NA,NA,"    101.99","    101.97","    101.98",NA,NA,NA,NA,NA,NA
"2007 [YR2007]",NA,NA,NA,NA,NA,NA,"     96.76","     97.44","     97.09","     22.94","     32.83","     27.71","    100.00","    100.00","    100.00","     16.95","     27.33","     21.96","     72.42","     86.29","     79.11",NA,NA,NA,NA,NA,NA,NA,"      4.37","    102.65","     73.92","     74.14","     73.77","     38.00","     29.63","     51.47","     64.14","     59.74","     68.58","     39.10",NA,"     42.16","     48.66","     84.03",NA,NA,NA,"     48.16","     57.18","1726660.00","     42.04","      1.41",NA,"     57.42","      1.13",NA,"     51.15","      1.67",NA,"     24.19","     63.04",NA,"      3.82","      4.47","      3.38","     16.98","     15.87","     18.01","      8.25","      8.24","      8.26","     88.84","     89.54","     88.18","      1.62","  51333.00","  25261.00","  26072.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"     99.54","     99.23","     99.84","      6.20","      5.78",NA,NA,NA,"    104.79","     88.73","      0.99","      0.98","    104.50","     89.43","    105.06","     88.06","    102.24","     89.12","      0.97","    100.87","     89.10","    103.55","     89.15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"     15.13","     21.09",NA,NA,NA,"     25.25","     22.81","     24.02",NA,NA,NA,NA,"    103.75","    103.33","    103.54",NA,NA,NA,NA,NA,NA
"2006 [YR2006]",NA,NA,NA,NA,NA,NA,"     96.61","     97.28","     96.93","     22.29","     32.37","     27.16","    100.00","    100.00","    100.00","     16.38","     27.03","     21.52","     70.93","     85.26","     77.85",NA,NA,NA,NA,NA,NA,NA,"      4.29","    104.37","     74.51","     74.63","     74.42","     38.36","     29.84","     52.08","     64.05","     59.63","     68.49","     38.67",NA,"     42.23","     48.68","     84.02",NA,NA,NA,"     48.09","     56.51","1812986.00","     42.08","      1.48",NA,"     59.38","      1.17",NA,"     53.23","      1.76",NA,"     24.72","     64.87",NA,"      4.79","      5.29","      4.47","     18.63","     17.47","     19.70","      9.90","      9.57","     10.19","     88.44","     89.15","     87.76","      1.97","  62917.00","  31512.00","  31405.00",NA,NA,NA,NA,NA,NA,"      0.23","      2.81","      2.46","      3.16",NA,NA,NA,"      0.23",NA,NA,NA,NA,NA,NA,"     99.32","     99.10","     99.53","      7.11","      6.29",NA,NA,NA,"    104.21","     88.31","      1.00","      0.98","    103.97","     89.02","    104.44","     87.63","    103.06","     89.72","      0.97","    101.51","     89.61","    104.53","     89.82",NA,NA,NA,NA,"      2.23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"     15.60","     20.29",NA,NA,NA,"     23.12","     21.07","     22.08",NA,NA,NA,"      2.93","     98.58","     98.42","     98.50","      2.59",NA,NA,NA,NA,NA
"2005 [YR2005]",NA,NA,NA,NA,NA,NA,"     96.51","     97.33","     96.90",NA,NA,NA,"    100.00","    100.00","    100.00","     16.54","     28.04","     22.07","     70.55","     85.26","     77.62",NA,NA,NA,NA,NA,NA,NA,NA,"    104.16","     74.30","     73.96","     74.51","     37.24","     28.82","     50.98","     63.75","     59.05","     68.50","     38.60",NA,"     42.77","     48.69","     83.65",NA,NA,NA,"     48.20","     56.03","1790168.00","     42.58","      1.48",NA,"     60.26","      1.18",NA,"     54.43","      1.77",NA,"     24.00","     65.50",NA,"      5.51","      6.02","      5.19","     19.12","     17.21","     20.88","     11.13","     10.62","     11.57","     87.07","     87.84","     86.33","      2.04","  65456.00","  33913.00","  31543.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"     99.59","     99.34","     99.82","      8.45","      6.97",NA,NA,NA,"    103.11","     87.01","      1.00","      0.98","    102.89","     87.79","    103.31","     86.26","    102.28","     90.09","      0.97","    100.91","     89.89","    103.58","     90.28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"     21.30","     20.39","     20.84",NA,NA,NA,NA,"     96.76","     96.99","     96.88",NA,NA,NA,NA,NA,NA
"2004 [YR2004]",NA,NA,NA,NA,NA,NA,"     97.56","     97.96","     97.75",NA,NA,NA,"    100.00","    100.00","    100.00","     16.80","     28.28","     22.36","     71.26","     86.18","     78.48",NA,NA,NA,NA,NA,NA,NA,NA,"    106.71","     74.56","     74.54","     74.56","     34.97","     26.57","     49.09","     62.77","     58.03","     67.53","     38.57",NA,"     42.45","     48.62","     82.92",NA,NA,NA,"     48.24","     55.60","1791293.00","     42.28","      1.42",NA,"     61.22","      1.12",NA,"     54.92","      1.70",NA,"     23.84","     66.89",NA,"      5.40","      5.87","      5.09","     17.62","     15.11","     19.91","     11.15","     10.22","     11.95","     86.24","     86.99","     85.52","      2.70","  86792.00","  45392.00","  41400.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"     99.82","     99.64","    100.00","     10.28","      8.76",NA,NA,NA,"    102.88","     86.24","      0.99","      0.98","    102.54","     86.99","    103.21","     85.52","    102.14","     89.77","      0.98","    100.84","     89.61","    103.39","     89.93",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"     19.79","     19.43","     19.60",NA,NA,NA,NA,"     98.96","     99.96","     99.47",NA,NA,NA,NA,NA,NA
"2003 [YR2003]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"    102.05","     75.23","     74.66","     75.59","     36.25","     28.08","     50.07","     63.32","     58.49","     68.17",NA,NA,"     42.54","     48.60","     82.83",NA,NA,NA,"     48.25","     54.94","1729839.00","     42.54",NA,NA,"     62.18",NA,NA,"     55.94",NA,NA,"     22.74","     67.79",NA,"      4.97","      5.71","      4.52","     15.73","     13.07","     18.25","     10.02","      9.34","     10.61","     85.00","     85.72","     84.31","      3.61"," 116838.00","  55613.00","  61225.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"     99.64","     99.46","     99.82","      9.92","      8.74",NA,NA,NA,"    102.10","     85.00","      0.99","      0.98","    101.71","     85.72","    102.47","     84.31","    101.82","     89.63","      0.98","    100.51","     89.46","    103.07","     89.79",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"     18.71","     18.71","     18.71",NA,NA,NA,NA,"    100.52","    100.83","    100.68",NA,NA,NA,NA,NA,NA
"2002 [YR2002]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"     77.72",NA,"     98.98","     75.26","     74.15","     75.94","     36.49","     28.22","     50.74","     63.88","     58.90","     68.81",NA,NA,"     42.97","     48.54","     82.44",NA,NA,NA,"     48.35","     54.35","1753409.00","     42.97",NA,NA,"     63.03",NA,NA,"     57.06",NA,NA,"     22.87","     68.42","     32.23","      4.26","      4.79","      3.94","     13.34","     11.56","     15.04","      8.66","      8.24","      9.02","     84.71","     85.37","     84.08","      4.49"," 147592.00","  71322.00","  76270.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"     99.76","     99.51","    100.00","      9.00","      7.69",NA,NA,NA,"    102.55","     84.71","      0.99","      0.98","    102.05","     85.37","    103.03","     84.08","    101.47","     89.58","      0.98","    100.36","     89.39","    102.53","     89.77",NA,NA,NA,NA,NA,"     66.55","     42.93","     33.53","     23.13","     17.43","     74.27","     11.33","     41.66","     62.75","     53.68","     57.57","     52.31",NA,NA,NA,NA,NA,"     17.91","     18.68","     18.30",NA,NA,NA,NA,"    101.51","    101.83","    101.67",NA,NA,NA,NA,NA,NA
"2001 [YR2001]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"     78.090",NA,"    100.378","     75.810","     74.590","     76.520","     36.940","     28.720","     51.240","     63.840","     58.570","     69.120",NA,NA,"     42.960","     48.541","     82.032",NA,NA,NA,"     48.365","     53.705","1740473.000","     42.960",NA,NA,"     63.347",NA,NA,"     57.339",NA,NA,"     22.923","     68.775","     31.397","      4.130","      4.870","      3.710","     11.550","     10.050","     13.010","      8.040","      7.910","      8.150","     82.936",NA,NA,"      0.639","  21535.000",NA,NA,NA,NA,NA,NA,NA,NA,"      0.059","      3.023","      2.626","      3.417",NA,NA,NA,"      0.059",NA,NA,NA,NA,NA,NA,"     99.784","     99.625","     99.935",NA,NA,NA,NA,NA,"    104.361","     82.936","      0.990","      0.983","    103.847",NA,"    104.850",NA,"    100.502",NA,"      0.980","     99.480",NA,"    101.478",NA,NA,NA,NA,NA,"      2.569","     66.195","     41.823","     34.019","     22.414","     17.021","     72.254","     12.370","     39.369","     62.149","     55.082","     57.189","     39.631",NA,NA,NA,NA,NA,"     17.474","     19.023","     18.259",NA,NA,NA,"      3.360","    105.542","    106.037","    105.796","      2.966",NA,NA,NA,NA,NA
"2000 [YR2000]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"     78.571",NA,"    100.859","     76.310","     74.970","     77.110","     42.970","     31.730","     64.290","     64.330","     58.740","     69.940",NA,NA,"     42.918","     48.528","     81.182",NA,NA,NA,"     48.353","     53.028","1735846.000","     42.918",NA,NA,"     63.190",NA,NA,"     57.232",NA,NA,"     23.094","     68.556","     30.958","      4.260","      5.200","      3.720","     12.530","     11.330","     13.650","      7.890","      8.240","      7.590","     86.465","     87.114","     85.846","      0.083","   2890.000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"     99.903","     99.801","    100.000",NA,NA,NA,NA,NA,"    105.317","     86.465","      0.990","      0.983","    104.756","     87.114","    105.852","     85.846","     99.931",NA,"      0.979","     98.868",NA,"    100.946",NA,NA,NA,NA,NA,NA,"     66.885","     40.912","     30.983","     21.671","     16.592","     70.045","     10.641","     37.197","     60.894","     53.560","     54.132","     61.082",NA,NA,NA,NA,NA,"     17.484","     19.968","     18.748",NA,NA,NA,NA,"    104.038","    104.641","    104.347",NA,NA,NA,NA,NA,NA
"1999 [YR1999]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"     78.146",NA,"    101.299","     76.630","     75.540","     77.260","     43.320","     32.070","     64.590","     64.880","     59.020","     70.710",NA,NA,"     43.120","     48.506","     81.528",NA,NA,NA,"     48.241","     51.094","1729976.000","     43.120",NA,NA,"     64.622",NA,NA,"     59.440",NA,NA,"     23.227","     69.195","     30.475","      5.030","      5.750","      4.630","     13.890","     12.950","     14.770","      8.650","      9.010","      8.340","     86.868","     87.532","     86.236","      0.085","   3028.000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"     99.873","     99.739","    100.000",NA,NA,NA,NA,NA,"    105.265","     86.868","      0.988","      0.979","    104.640","     87.532","    105.861","     86.236","     99.276",NA,"      0.975","     97.975",NA,"    100.519",NA,NA,NA,NA,NA,NA,"     65.767","     39.355","     30.992","     20.880","     15.393","     70.375","     11.687","     37.145","     60.433","     54.082","     54.531","     50.483",NA,NA,NA,NA,NA,"     17.498","     21.134","     19.351",NA,NA,NA,NA,"    101.059","    101.849","    101.463",NA,NA,NA,NA,NA,NA
"1998 [YR1998]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"      4.46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"     42.90","     48.49",NA,NA,NA,NA,"     48.15",NA,"1690193.00","     42.90",NA,NA,"     64.57",NA,NA,"     59.45",NA,NA,"     23.03","     69.04",NA,"      5.50","      6.64","      4.88","     14.93","     14.01","     15.80","      9.95","     10.49","      9.51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"    105.47",NA,"      0.99","      0.98","    104.80",NA,"    106.12",NA,"     99.14",NA,"      0.97","     97.65",NA,"    100.56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"     16.49","     20.10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1997 [YR1997]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"    104.95","     79.60","     76.52","     81.36","     41.15","     32.89","     54.35","     68.54","     62.22","     74.68",NA,NA,NA,"     48.52","     81.25",NA,NA,NA,"     48.16","     49.40","2320465.00","     44.14",NA,NA,NA,NA,NA,NA,NA,NA,"     29.83",NA,"     29.44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"     15.94","     15.62","     16.24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"     90.89","     90.33","     91.42","    104.06",NA,"      0.99","      0.98","    103.45",NA,"    104.63",NA,"    104.30",NA,"      0.97","    102.75",NA,"    105.77",NA,"     47.79","      0.88","     44.70","     50.76",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"     98.70","     98.97","     98.84",NA,NA,NA,NA,NA,NA
"1996 [YR1996]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"      4.49","    103.79","     80.45","     77.01","     82.39","     41.16","     32.69","     54.86","     68.58","     62.24","     74.72",NA,NA,NA,"     48.55","     80.93",NA,NA,NA,"     48.05","     48.98","2274624.00","     43.81",NA,NA,NA,NA,NA,NA,NA,NA,"     29.78",NA,"     28.69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"     15.86","     15.47","     16.22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"     99.99","     99.99","    100.00",NA,NA,"     87.72","     86.29","     89.08","    102.58",NA,"      0.99","      0.97","    102.03",NA,"    103.11",NA,"    104.51",NA,"      0.97","    102.75",NA,"    106.19",NA,"     46.94","      0.84","     42.83","     50.87",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"     96.78","     96.62","     96.70",NA,NA,NA,NA,NA,NA
"1995 [YR1995]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"      4.43","    103.86","     80.65","     76.89","     82.73","     42.63","     33.52","     58.64","     67.30","     60.22","     74.27",NA,NA,NA,"     48.58","     85.08",NA,NA,NA,"     47.96","     46.99","2260978.00","     43.69",NA,NA,NA,NA,NA,NA,NA,NA,"     30.01",NA,"     28.97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"     15.77","     15.32","     16.19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"     99.92","    100.00","     99.84",NA,NA,"     83.21","     81.88","     84.48","    101.38",NA,"      0.99","      0.97","    100.93",NA,"    101.80",NA,"    104.96",NA,"      0.96","    103.02",NA,"    106.81",NA,"     45.33","      0.80","     40.27","     50.15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"     96.21","     96.13","     96.17",NA,NA,NA,NA,NA,NA
"1994 [YR1994]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"      4.34","    101.47","     80.51","     76.60","     82.66","     43.65","     33.95","     60.93","     67.74","     60.22","     75.17",NA,NA,NA,"     48.57","     85.00",NA,NA,NA,"     47.92","     45.24","2286317.00","     43.83",NA,NA,NA,NA,NA,NA,NA,NA,"     30.56",NA,"     27.86",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"     15.66","     15.17","     16.11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"     99.99","    100.00","     99.98",NA,NA,"     89.63","     89.21","     90.03","    100.43",NA,"      0.99","      0.97","    100.00",NA,"    100.84",NA,"    105.70",NA,"      0.96","    103.69",NA,"    107.62",NA,"     42.50","      0.77","     36.85","     47.89",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"     96.56","     96.84","     96.71",NA,NA,NA,NA,NA,NA
"1993 [YR1993]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"      4.41","     99.46","     81.20","     77.14","     83.38","     44.66","     34.92","     62.35","     67.29","     59.46","     74.89",NA,NA,NA,"     48.57","     83.94",NA,NA,NA,"     47.79","     45.57","2299144.00","     43.63",NA,NA,NA,NA,NA,NA,NA,NA,"     31.29",NA,"     27.56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"     15.51","     15.01","     15.98",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"     99.97","     99.94","    100.00",NA,NA,"     89.38","     89.34","     89.42","    100.84",NA,"      0.99","      0.97","    100.43",NA,"    101.22",NA,"    105.60",NA,"      0.96","    103.31",NA,"    107.79",NA,"     39.42","      0.76","     33.91","     44.67",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"    100.42","    100.25","    100.33",NA,NA,NA,NA,NA,NA
"1992 [YR1992]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"     80.78","     75.88","     83.43","     44.25","     34.95","     60.63","     68.34","     60.24","     76.34",NA,NA,NA,"     49.00",NA,NA,NA,NA,"     48.09",NA,"2272063.00","     44.13",NA,NA,NA,NA,NA,NA,NA,NA,"     32.61",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"     14.81","     14.43","     15.18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"     99.16",NA,"      1.01","      0.98","     99.63",NA,"     98.70",NA,"    100.85",NA,"      0.97","     99.30",NA,"    102.34",NA,"     35.43","      0.74","     30.08","     40.53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1991 [YR1991]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2296087",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"     15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"    102",NA,NA,NA,NA,NA,NA,NA,"     99",NA,NA,NA,NA,NA,NA,"     34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
