,female_perc,male_perc,total_perc,agriculture,agriculture_female,agriculture_male,industry,industry_female,industry_male,services,services_female,services_male,female_share,law_prohibits_discrimination,parttime_female,parttime_male,parttime_total,selfemployed_female,selfemployed_male,selfemployed_total,law_harassment,unemployment_female_ILO,unemployment_female_national,unemployment_male_ILO,unemployment_male_national,unemployment_total_ILO,unemployment_total_national,ws_workers_female,ws_workers_male,ws_workers_total,penalties_harassment
desc,"Employers, female (% of female employment) (modeled ILO estimate)","Employers, male (% of male employment) (modeled ILO estimate)","Employers, total (% of total employment) (modeled ILO estimate)",Employment in agriculture (% of total employment) (modeled ILO estimate),"Employment in agriculture, female (% of female employment) (modeled ILO estimate)","Employment in agriculture, male (% of male employment) (modeled ILO estimate)",Employment in industry (% of total employment) (modeled ILO estimate),"Employment in industry, female (% of female employment) (modeled ILO estimate)","Employment in industry, male (% of male employment) (modeled ILO estimate)",Employment in services (% of total employment) (modeled ILO estimate),"Employment in services, female (% of female employment) (modeled ILO estimate)","Employment in services, male (% of male employment) (modeled ILO estimate)",Female share of employment in senior and middle management (%),Law prohibits discrimination in employment based on gender (1=yes; 0=no),"Part time employment, female (% of total part time employment)","Part time employment, male (% of total male employment)","Part time employment, total (% of total employment)","Self-employed, female (% of female employment) (modeled ILO estimate)","Self-employed, male (% of male employment) (modeled ILO estimate)","Self-employed, total (% of total employment) (modeled ILO estimate)",There is legislation on sexual harassment in employment (1=yes; 0=no),"Unemployment, female (% of female labor force) (modeled ILO estimate)","Unemployment, female (% of female labor force) (national estimate)","Unemployment, male (% of male labor force) (modeled ILO estimate)","Unemployment, male (% of male labor force) (national estimate)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Unemployment, total (% of total labor force) (national estimate)","Wage and salaried workers, female (% of female employment) (modeled ILO estimate)","Wage and salaried workers, male (% of male employment) (modeled ILO estimate)","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",Criminal penalties or civil remedies exist for sexual harassment in employment (1=yes; 0=no)
1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nein,NA,NA,NA,NA,NA,NA,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nein
1983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nein,NA,8.4,19.7,NA,NA,NA,Nein,NA,7.5,NA,5.8,NA,6.4,NA,NA,NA,Nein
1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nein,NA,8.4,18.5,NA,NA,NA,Nein,NA,8.2,NA,5.7,NA,6.7,NA,NA,NA,Nein
1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nein,NA,7.7,18.1,NA,NA,NA,Nein,NA,8.5,NA,5.8,NA,6.9,NA,NA,NA,Nein
1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nein,NA,6.1,16.7,NA,NA,NA,Nein,NA,8.2,NA,5.5,NA,6.6,NA,NA,NA,Nein
1987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nein,NA,7.7,18.1,NA,NA,NA,Nein,NA,7.9,NA,6.1,NA,6.8,NA,NA,NA,Nein
1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nein,NA,7,17.9,NA,NA,NA,Nein,NA,7.9,NA,5.3,NA,6.3,NA,NA,NA,Nein
1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nein,NA,7.7,18.8,NA,NA,NA,Nein,NA,7.5,NA,4.5,NA,5.7,NA,NA,NA,Nein
1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nein,NA,8,20.5,NA,NA,NA,Nein,NA,6.1,NA,4,NA,4.9,NA,NA,NA,Nein
1991,2.3,6.1,4.5,3.5,3.4,3.5,37.7,21.9,48.9,58.8,74.7,47.5,NA,Nein,75.1,8.5,20.6,7.9,10.9,9.7,Nein,6.5,6.5,4.4,4.4,5.3,5.3,92.1,89.1,90.3,Nein
