"Land","maternal_mortality","Adolescent_birth_rate","Anteil_der_von_Frauen","f_sekundarabschluss","m_sekundarabschluss","f_labour","m_labour"
"Switzerland",5,2.763,38.61788618,95.56618,96.75691,62.904,73.754
"Denmark",4,4.123,39.10614525,91.15192,90.88383,58.248,66.285
"Sweden",4,5.076,47.27793696,89.28605,89.54352356,61.384,67.766
"Germany",7,8.095,31.61953728,95.85821,96.32719,55.275,66.565
"Chad",1140,161.09,14.88095238,1.738381058,10.5268837,63.944,77.547
"Papua New Guinea",145,52.655,0.0,9.987125672,15.16,46.316,48.044
"Yemen",164,60.352,0.970873786,19.92,36.9182701,5.834,70.183
